GP Practice Code,GP Practice Name,UEC Site Code,UEC Site Name,duration
A83626,EVENWOOD MEDICAL PRACTICE,R0B01,SUNDERLAND ROYAL HOSPITAL,2650.71
A83626,EVENWOOD MEDICAL PRACTICE,RXPCP,UNIVERSITY HOSPITAL OF NORTH DURHAM,1988.1
A83626,EVENWOOD MEDICAL PRACTICE,RXPDA,DARLINGTON MEMORIAL HOSPITAL,1191.04
A83626,EVENWOOD MEDICAL PRACTICE,RTDCA,PONTELAND ROAD URGENT TREATMENT CENTRE,3137.66
A83626,EVENWOOD MEDICAL PRACTICE,RTFDH,BERWICK INFIRMARY,7003.11
A83626,EVENWOOD MEDICAL PRACTICE,RTFDJ,ALNWICK INFIRMARY,4935.67
A83626,EVENWOOD MEDICAL PRACTICE,RTFDR,HEXHAM GENERAL HOSPITAL,2858.64
A83626,EVENWOOD MEDICAL PRACTICE,RTFED,WANSBECK HOSPITAL,3957.68
A81022,HILLSIDE PRACTICE,R0B01,SUNDERLAND ROYAL HOSPITAL,3190.0
A81022,HILLSIDE PRACTICE,RXPCP,UNIVERSITY HOSPITAL OF NORTH DURHAM,3368.35
A81022,HILLSIDE PRACTICE,RXPDA,DARLINGTON MEMORIAL HOSPITAL,2682.45
A81022,HILLSIDE PRACTICE,RTDCA,PONTELAND ROAD URGENT TREATMENT CENTRE,4107.25
A81022,HILLSIDE PRACTICE,RTFDH,BERWICK INFIRMARY,7918.73
A81022,HILLSIDE PRACTICE,RTFDJ,ALNWICK INFIRMARY,5851.3
A81022,HILLSIDE PRACTICE,RTFDR,HEXHAM GENERAL HOSPITAL,5270.59
A81022,HILLSIDE PRACTICE,RTFED,WANSBECK HOSPITAL,4728.43
A81058,COULBY MEDICAL PRACTICE,R0B01,SUNDERLAND ROYAL HOSPITAL,2422.59
A81611,PARKWAY MEDICAL CENTRE,R0B01,SUNDERLAND ROYAL HOSPITAL,2422.59
A81058,COULBY MEDICAL PRACTICE,RXPCP,UNIVERSITY HOSPITAL OF NORTH DURHAM,2600.95
